0x809b34,Item Name,Item Description,Use Item Description,Item Number,Weapon Type,Attributes,Stat Bonuses Pointer,Effectiveness Pointer,Durability,Might,Hit,Weight,Crit,Range (Min-Max),Cost Per Use (0 => Unsellable),Weapon Rank,Item Icon Index,Staff/Use Effect,Weapon Effect,Weapon Experience,##UNKNOWN##
Iron Sword,0x354,0x404,0x0,0x1,WTYPE_SWORD,WA_WEAPON,0x0,0x0,46,5,90,5,0,0x11,10,WRANK_E,0x0,0x0,WE_NONE,1,0x0
Thin Sword,0x355,0x405,0x0,0x2,WTYPE_SWORD,WA_WEAPON,0x0,0x0,30,3,100,2,5,0x11,16,WRANK_E,0x1,0x0,WE_NONE,1,0x0
Steel Sword,0x356,0x406,0x0,0x3,WTYPE_SWORD,WA_WEAPON,0x0,0x0,30,8,75,10,0,0x11,20,WRANK_D,0x2,0x0,WE_NONE,1,0x0
Silver Sword,0x357,0x407,0x0,0x4,WTYPE_SWORD,WA_WEAPON,0x0,0x0,20,13,80,8,0,0x11,75,WRANK_A,0x3,0x0,WE_NONE,1,0x0
Iron Blade,0x358,0x408,0x0,0x5,WTYPE_SWORD,WA_WEAPON,0x0,0x0,35,9,70,12,0,0x11,28,WRANK_D,0x4,0x0,WE_NONE,2,0x0
Steel Blade,0x359,0x409,0x0,0x6,WTYPE_SWORD,WA_WEAPON,0x0,0x0,25,11,65,14,0,0x11,50,WRANK_C,0x5,0x0,WE_NONE,2,0x0
Silver Blade,0x35a,0x40a,0x0,0x7,WTYPE_SWORD,WA_WEAPON,0x0,0x0,15,14,60,13,0,0x11,120,WRANK_A,0x6,0x0,WE_NONE,2,0x0
Poison Sword,0x35b,0x40b,0x0,0x8,WTYPE_SWORD,WA_WEAPON,0x0,0x0,40,3,70,6,0,0x11,0,WRANK_D,0x7,0x0,WE_POISON,1,0x0
Valkyrie Staff,ValkyrieStaffName,ValkyrieStaffDesc,0x0,0x9,WTYPE_STAFF,WA_STAFF | WA_UNSELLABLE | WA_LOCK_EIRIKA,0x0,0x0,60,8,100,2,0,0x11,150,WRANK_D,0x8,0x01,WE_NONE,3,0x0
Mani Katti (DUMMY),0x403,0x4ab,0x0,0xa,WTYPE_SWORD,WA_WEAPON | WA_UNSELLABLE | WA_LOCK_6,0x0,0x88adec2,45,8,80,3,20,0x11,0,WRANK_NONE,0x9,0x0,WE_NONE,2,0x0
Hero Sword,0x35d,0x40d,0x0,0xb,WTYPE_SWORD,WA_WEAPON | WA_BRAVE,0x0,0x0,30,9,75,12,0,0x11,250,WRANK_B,0xa,0x0,WE_NONE,1,0x0
Shamshir,0x35e,0x40e,0x0,0xc,WTYPE_SWORD,WA_WEAPON | WA_LOCK_MYRMIDON,0x0,0x0,20,8,75,5,35,0x11,60,WRANK_D,0xb2,0x0,WE_NONE,1,0x0
Killer Sword,0x35f,0x40f,0x0,0xd,WTYPE_SWORD,WA_WEAPON,0x0,0x0,20,9,75,7,30,0x11,65,WRANK_C,0xc,0x0,WE_NONE,1,0x0
Armour Killer,0x360,0x410,0x0,0xe,WTYPE_SWORD,WA_WEAPON,0x0,0x88adebb,18,8,80,11,0,0x11,70,WRANK_D,0xd,0x0,WE_NONE,1,0x0
Dragon Killer,0x361,0x411,0x0,0xf,WTYPE_SWORD,WA_WEAPON,0x0,0x88adf13,30,8,75,5,0,0x11,150,WRANK_C,0xe,0x0,WE_NONE,1,0x0
Light Sword,0x362,0x412,0x0,0x10,WTYPE_SWORD,WA_WEAPON | WA_MAGICDAMAGE,0x0,0x0,25,9,70,9,0,0x12,50,WRANK_C,0xf,0x0,WE_NONE,1,0x0
Rune Sword,0x363,0x413,0x0,0x11,WTYPE_SWORD,WA_WEAPON | WA_MAGICDAMAGE,0x0,0x0,15,12,65,11,0,0x12,220,WRANK_A,0x10,0x0,WE_HPDRAIN,1,0x0
Lancebuster,0x364,0x414,0x0,0x12,WTYPE_SWORD,WA_WEAPON | WA_REVERTTRIANGLE,0x0,0x0,15,9,75,9,5,0x11,120,WRANK_C,0x11,0x0,WE_NONE,2,0x0
Long Sword,0x365,0x415,0x0,0x13,WTYPE_SWORD,WA_WEAPON,0x0,0x88adee0,18,6,85,11,0,0x11,70,WRANK_D,0x12,0x0,WE_NONE,1,0x0
